signature_id	signature_name	gene_symbol	gene_symbol_clean	source_reference
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	IL15	IL15	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	IL32	IL32	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	IL6	IL6	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	INHBA	INHBA	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	ITGA2	ITGA2	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	ITGA5	ITGA5	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	ITGAV	ITGAV	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	ITGB1	ITGB1	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	ITGB3	ITGB3	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	ITGB5	ITGB5	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	JUN	JUN	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	LAMA1	LAMA1	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	LAMA2	LAMA2	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	LAMA3	LAMA3	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	LAMC1	LAMC1	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	LAMC2	LAMC2	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	LGALS1	LGALS1	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	LOX	LOX	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	LOXL1	LOXL1	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	LOXL2	LOXL2	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	LRP1	LRP1	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	LRRC15	LRRC15	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	LUM	LUM	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	MAGEE1	MAGEE1	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	MATN2	MATN2	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	MATN3	MATN3	MSigDB Hallmark EMT
HALLMARK_EMT	Hallmark epithelial-mesenchymal transition	MCM7	MCM7	MSigDB Hallmark EMT
